"DisplayName","ObjectType","RoleDefinitionName","Scope"
,"Unknown","Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Virtual Machine Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","User Access Administrator","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"cloudengineering-mg-ado-identity","ServicePrincipal","Management Group Reader","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"azsu-uami-azure-monitor","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"Qualys-Azure-Cloud-Connector","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"Qualys-Azure-Cloud-Connector","ServicePrincipal","Security Reader","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"d694237f4d844256bdbc49d1","ServicePrincipal","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"d694237f4d844256bdbc49d1","ServicePrincipal","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"5065aad436c749fdade36b4a","ServicePrincipal","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"5065aad436c749fdade36b4a","ServicePrincipal","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
